,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
47,France,167.628,FRA,67059887.0,1680411.0,116.276641845703,113.963439941406,68.3579025268555,40578.6442850534,0.178021578717479,81,France,250,Western Europe,,Europe,112411.0,1.151200408935545,22905.0,1020.0
48,Gabon,1.658,GAB,2172579.0,12178.0,148.184753417969,53.086009979248,21.0658702850342,7766.99655422948,0.371795455999529,85,Gabon,266,Middle Africa,Sub-Saharan Africa,Africa,36.0,1.006353816986085,1355.0,21.0
49,Gambia,0.505,GMB,2347706.0,0.0,103.526229858398,51.0316505432129,3.03408002853394,772.505588308894,0.441271181314867,86,Gambia,270,Western Africa,Sub-Saharan Africa,Africa,12.0,0.7727894020080545,1334.0,4.0
50,Georgia,14.956,GEO,3720382.0,181389.0,118.174652099609,115.270370483398,66.6892166137695,4696.15058555612,0.200314254153046,87,Georgia,268,Western Asia,,Asia,556.0,1.167225112915035,1450.0,62.0
51,Germany,62.757,DEU,83132799.0,636830.0,105.474678039551,105.698997497559,73.5210571289063,46794.8992915603,0.137994884756758,88,Germany,276,Western Europe,,Europe,52172.0,1.05586837768555,20188.0,1054.0
52,Ghana,7.856,GHA,30417856.0,13154.0,108.337890625,77.6725769042969,18.6874504089355,2246.62557816432,0.373648721329998,89,Ghana,288,Western Africa,Sub-Saharan Africa,Africa,2390.0,0.9300523376464845,17618.0,265.0
53,Greece,30.790999999999997,GRC,10716322.0,65616.0,103.899589538574,108.076858520508,148.530883789063,19133.7577636254,0.138965985913913,91,Greece,300,Southern Europe,,Europe,3300.0,1.05988224029541,2631.0,276.0
54,Grenada,5.616,GRD,112003.0,1912.0,136.231109619141,123.03343963623,104.561882019043,10834.495680302,0.23717221860128698,93,Grenada,308,Caribbean,Latin America and the Caribbean,North America,6.0,1.296322746276855,57.0,3.0
55,Guatemala,47.716,GTM,16604026.0,47049.0,115.761009216309,54.197338104248,22.1422004699707,4638.63494319511,0.338593321423826,96,Guatemala,320,Central America,Latin America and the Caribbean,North America,7923.0,0.8497917366027851,7963.0,156.0
56,Guinea,0.041,GIN,12771246.0,15360.0,100.785369873047,39.3339691162109,11.5593099594116,1052.58809075877,0.434499891396658,98,Guinea,324,Western Africa,Sub-Saharan Africa,Africa,5.0,0.7005966949462895,6479.0,80.0
57,Guinea-Bissau,1.0730000000000002,GNB,1920922.0,0.0,122.443809509277,34.1621704101563,2.64324998855591,749.453747028806,0.421536637094062,99,Guinea-Bissau,624,Western Africa,Sub-Saharan Africa,Africa,21.0,0.7830298995971665,1057.0,3.0
58,Guyana,0.911,GUY,782766.0,4420.0,107.590553283691,101.672706604004,12.1632995605469,6609.51127954588,0.279299305284082,100,Guyana,328,South America,Latin America and the Caribbean,South America,7.0,1.046316299438475,381.0,3.0
59,Haiti,1.241,HTI,11263077.0,0.0,113.571510314941,17.9214992523193,1.08803999423981,1312.77063606676,0.328585874002282,101,Haiti,332,Caribbean,Latin America and the Caribbean,North America,140.0,0.6574650478363014,4055.0,5.0
60,Honduras,1.517,HND,9746117.0,0.0,108.743209838867,65.8347396850586,26.1642208099365,2574.35675105143,0.31159424825292,104,Honduras,340,Central America,Latin America and the Caribbean,North America,148.0,0.872889747619628,4418.0,99.0
61,Hungary,47.302,HUN,9769949.0,226392.0,109.19132232666,104.715347290039,68.2849807739258,16735.6597794761,0.144332197277783,105,Hungary,348,Eastern Europe,,Europe,4621.0,1.069533348083495,2514.0,120.0
62,India,1.222,IND,1366417754.0,934911.0,114.53832244873,75.4811935424805,29.4413299560547,2072.24489735041,0.266182646511486,107,India,356,Southern Asia,,Asia,16698.0,0.9500975799560524,575944.0,13385.0
63,Indonesia,3.0029999999999997,IDN,270625568.0,272296.0,121.16446685791,88.9101715087891,36.4444389343262,4135.23334351202,0.262151194819848,108,Indonesia,360,South-eastern Asia,,Asia,8127.0,1.0503731918334955,124198.0,3232.0
64,Iran (Islamic Republic of),18.145000000000003,IRN,82913906.0,36158.0,115.066497802734,89.3750228881836,72.961051940918,3514.0421682578,0.24654658049760703,109,Iran (Islamic Republic of),364,Southern Asia,,Asia,15045.0,1.022207603454588,34827.0,1864.0
65,Iraq,1.761,IRQ,39309783.0,11273.0,108.878463745117,54.4503898620605,16.1574192047119,5943.45845510233,0.380209272587437,110,Iraq,368,Western Asia,,Asia,692.0,0.8166442680358875,20343.0,302.0
66,Israel,97.959,ISR,9053300.0,146937.0,107.261520385742,107.248497009277,68.5746231079102,43951.2477305677,0.278855719144722,113,Israel,376,Western Asia,,Asia,8869.0,1.072550086975095,4513.0,216.0
67,Italy,35.859,ITA,60297396.0,677933.0,108.581268310547,103.331573486328,66.6829681396484,33673.4754474483,0.131666575144622,114,Italy,380,Southern Europe,,Europe,21622.0,1.059564208984375,14020.0,662.0
68,Jamaica,12.256999999999998,JAM,2948279.0,24115.0,109.37287902832,92.3316116333008,28.7589302062988,5369.4983713849,0.235312193995209,115,Jamaica,388,Caribbean,Latin America and the Caribbean,North America,361.0,1.008522453308104,1166.0,25.0
